TimeUS,MagX,MagY,MagZ,OfsX,OfsY,OfsZ,MOfsX,MOfsY,MOfsZ,Health,S,timestamp
221040809.0,-453.0,93.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221040796.0,1668050393.35983
221158495.0,-446.0,92.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221158482.0,1668050393.477516
221258452.0,-445.0,92.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221258439.0,1668050393.577473
221358469.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221358456.0,1668050393.67749
221458618.0,-453.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221458601.0,1668050393.777639
221558804.0,-453.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221558792.0,1668050393.877825
221658408.0,-452.0,95.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221658395.0,1668050393.977429
221758703.0,-453.0,93.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221758645.0,1668050394.077724
221858863.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221858850.0,1668050394.177884
221958712.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,221958699.0,1668050394.277733
222058682.0,-451.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222058669.0,1668050394.377703
222158517.0,-451.0,93.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222158498.0,1668050394.4775379
222258824.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222258811.0,1668050394.577845
222358655.0,-451.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222358641.0,1668050394.677676
222458858.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222458786.0,1668050394.777879
222558655.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222558642.0,1668050394.877676
222658787.0,-452.0,94.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222658774.0,1668050394.977808
222758663.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222758650.0,1668050395.077684
222858392.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222858379.0,1668050395.177413
222958878.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,222958865.0,1668050395.277899
223058850.0,-451.0,93.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223058834.0,1668050395.377871
223158786.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223158772.0,1668050395.477807
223258917.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223258892.0,1668050395.577938
223358477.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223358464.0,1668050395.677498
223458702.0,-451.0,92.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223458685.0,1668050395.777723
223558719.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223558706.0,1668050395.87774
223658692.0,-453.0,93.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223658678.0,1668050395.9777129
223758420.0,-453.0,93.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223758407.0,1668050396.077441
223858736.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223858698.0,1668050396.177757
223958511.0,-452.0,93.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,223958498.0,1668050396.277532
224058734.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224058721.0,1668050396.377755
224158784.0,-452.0,93.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224158767.0,1668050396.477805
224258791.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224258774.0,1668050396.577812
224358716.0,-452.0,93.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,224358703.0,1668050396.677737
227258617.0,-448.0,91.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227258447.0,1668050399.577638
227370773.0,-446.0,93.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227370760.0,1668050399.689794
227470696.0,-444.0,93.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227470683.0,1668050399.789717
227571031.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227571017.0,1668050399.890052
227670404.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227670391.0,1668050399.989425
227770657.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227770644.0,1668050400.089678
227870421.0,-451.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227870408.0,1668050400.189442
227970598.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,227970585.0,1668050400.289619
228070853.0,-451.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228070840.0,1668050400.389874
228170446.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228170433.0,1668050400.489467
228270546.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228270442.0,1668050400.589567
228370691.0,-452.0,92.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228370678.0,1668050400.689712
228470779.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228470765.0,1668050400.7898
228570841.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228570828.0,1668050400.889862
228670875.0,-451.0,93.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228670862.0,1668050400.989896
228770719.0,-452.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228770706.0,1668050401.08974
228870568.0,-452.0,93.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228870556.0,1668050401.189589
228970825.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,228970812.0,1668050401.289846
229070816.0,-448.0,92.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229070803.0,1668050401.389837
229170922.0,-445.0,91.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229170909.0,1668050401.489943
229270735.0,-446.0,91.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229270722.0,1668050401.589756
229370749.0,-446.0,93.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229370730.0,1668050401.68977
229470391.0,-446.0,92.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229470378.0,1668050401.789412
229570790.0,-448.0,92.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229570776.0,1668050401.889811
229670886.0,-445.0,92.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229670872.0,1668050401.989907
229770643.0,-451.0,94.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229770630.0,1668050402.089664
229870601.0,-453.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229870588.0,1668050402.189622
229970756.0,-453.0,94.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,229970743.0,1668050402.289777
230070803.0,-451.0,92.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,230070790.0,1668050402.389824
233070811.0,-452.0,92.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233070739.0,1668050405.389832
233183825.0,-448.0,92.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233183812.0,1668050405.502846
233284028.0,-443.0,91.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233283911.0,1668050405.603049
233384141.0,-450.0,91.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233384128.0,1668050405.703162
233483934.0,-452.0,91.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233483921.0,1668050405.802955
233583979.0,-452.0,92.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233583962.0,1668050405.9029999
233684224.0,-453.0,93.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233684212.0,1668050406.0032449
233783857.0,-453.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233783843.0,1668050406.102878
233883823.0,-451.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233883811.0,1668050406.202844
233984109.0,-452.0,92.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,233984072.0,1668050406.30313
234084027.0,-451.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234084013.0,1668050406.403048
234184124.0,-451.0,92.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234184112.0,1668050406.503145
234284052.0,-452.0,92.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234284015.0,1668050406.603073
234383916.0,-451.0,93.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234383903.0,1668050406.702937
234483960.0,-451.0,93.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234483895.0,1668050406.802981
234584157.0,-451.0,92.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234584144.0,1668050406.903178
234684099.0,-451.0,93.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234684086.0,1668050407.00312
234784177.0,-453.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234784123.0,1668050407.103198
234883896.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234883883.0,1668050407.202917
234983901.0,-452.0,92.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,234983888.0,1668050407.302922
235084190.0,-448.0,92.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235084086.0,1668050407.4032109
235184205.0,-444.0,91.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235184089.0,1668050407.503226
235284102.0,-450.0,91.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235284089.0,1668050407.603123
235384322.0,-447.0,92.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235384267.0,1668050407.703343
235484125.0,-444.0,92.0,246.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235484089.0,1668050407.803146
235583991.0,-447.0,91.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235583917.0,1668050407.903012
235684141.0,-446.0,93.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,235684128.0,1668050408.003162
238383736.0,-449.0,91.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238383723.0,1668050410.702757
238495706.0,-444.0,90.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238495693.0,1668050410.814727
238595905.0,-447.0,93.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238595888.0,1668050410.914926
238695790.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238695777.0,1668050411.014811
238795893.0,-451.0,93.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238795879.0,1668050411.114914
238895828.0,-452.0,93.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238895815.0,1668050411.214849
238995768.0,-453.0,92.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,238995708.0,1668050411.314789
239095906.0,-452.0,93.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239095892.0,1668050411.414927
239195754.0,-451.0,92.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239195741.0,1668050411.514775
239295948.0,-451.0,92.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239295875.0,1668050411.614969
239395791.0,-451.0,92.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239395775.0,1668050411.714812
239495916.0,-452.0,92.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239495903.0,1668050411.8149369
239595846.0,-452.0,92.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239595832.0,1668050411.914867
239695942.0,-451.0,93.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239695929.0,1668050412.014963
239795797.0,-452.0,93.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239795784.0,1668050412.114818
239895757.0,-453.0,92.0,228.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239895743.0,1668050412.214778
