TimeUS,NLon,NLoop,MaxT,Mem,Load,IntE,IntEC,SPIC,I2CC,I2CI,ExUS,timestamp
222959700.0,3.0,4000.0,72909.0,276704.0,456.0,0.0,0.0,3094122.0,78433.0,115645.0,0.0,1668050395.278721
242996659.0,2.0,4000.0,15965.0,276704.0,457.0,0.0,0.0,3376570.0,85483.0,126037.0,0.0,1668050415.31568
253020575.0,2.0,4000.0,14435.0,276704.0,456.0,0.0,0.0,3517930.0,89058.0,131287.0,0.0,1668050425.339596
263032728.0,1.0,4000.0,14624.0,276704.0,476.0,0.0,0.0,3659206.0,92532.0,136429.0,0.0,1668050435.351749
273032746.0,0.0,4000.0,2606.0,276704.0,479.0,0.0,0.0,3798977.0,95908.0,141463.0,0.0,1668050445.351767
283032381.0,0.0,4000.0,2610.0,276704.0,488.0,0.0,0.0,3939339.0,99279.0,146491.0,0.0,1668050455.351402
293044407.0,1.0,4000.0,14302.0,276704.0,453.0,0.0,0.0,4080139.0,102660.0,151531.0,0.0,1668050465.3634279
303044306.0,0.0,4000.0,2600.0,276704.0,467.0,0.0,0.0,4219872.0,106052.0,156589.0,0.0,1668050475.363327
313044203.0,0.0,4000.0,2603.0,276704.0,464.0,0.0,0.0,4360227.0,109446.0,161650.0,0.0,1668050485.363224
323044214.0,0.0,4000.0,2642.0,276704.0,468.0,0.0,0.0,4499896.0,112833.0,166699.0,0.0,1668050495.363235
333043997.0,0.0,4000.0,2611.0,276704.0,465.0,0.0,0.0,4640187.0,116221.0,171751.0,0.0,1668050505.363018
336884571.0,0.0,1536.0,2584.0,276704.0,445.0,0.0,0.0,4693703.0,117520.0,173689.0,0.0,1668050509.203592
346884590.0,0.0,4000.0,2594.0,276704.0,454.0,0.0,0.0,4833468.0,120913.0,178750.0,0.0,1668050519.203611
356884542.0,0.0,4000.0,2597.0,276664.0,458.0,0.0,0.0,4973569.0,124291.0,183787.0,0.0,1668050529.203563
366884560.0,0.0,4000.0,2643.0,276664.0,457.0,0.0,0.0,5113582.0,127672.0,188827.0,0.0,1668050539.203581
376884089.0,0.0,4000.0,2615.0,276664.0,456.0,0.0,0.0,5253416.0,131041.0,193861.0,0.0,1668050549.20311
386884111.0,0.0,4000.0,2612.0,276664.0,480.0,0.0,0.0,5393302.0,134425.0,198904.0,0.0,1668050559.203132
396884532.0,0.0,4000.0,2593.0,276624.0,506.0,0.0,0.0,5533147.0,137782.0,203911.0,0.0,1668050569.203553
406884613.0,0.0,4000.0,2616.0,276624.0,510.0,0.0,0.0,5673022.0,141063.0,208822.0,0.0,1668050579.203634
416884131.0,0.0,4000.0,2576.0,276624.0,526.0,0.0,0.0,5812878.0,144324.0,213715.0,0.0,1668050589.203152
426884247.0,0.0,4000.0,2599.0,276624.0,532.0,0.0,0.0,5952781.0,147592.0,218617.0,0.0,1668050599.203268
436884097.0,0.0,4000.0,2642.0,276624.0,541.0,0.0,0.0,6092593.0,150851.0,223504.0,0.0,1668050609.203118
446884240.0,0.0,4000.0,2603.0,276624.0,534.0,0.0,0.0,6232219.0,154117.0,228403.0,0.0,1668050619.203261
456884263.0,0.0,4000.0,2585.0,276624.0,531.0,0.0,0.0,6372050.0,157379.0,233296.0,0.0,1668050629.203284
466884286.0,0.0,4000.0,2645.0,276624.0,534.0,0.0,0.0,6511972.0,160630.0,238174.0,0.0,1668050639.203307
476884150.0,0.0,4000.0,2603.0,276624.0,528.0,0.0,0.0,6651721.0,163882.0,243052.0,0.0,1668050649.203171
486884230.0,0.0,4000.0,2602.0,276624.0,516.0,0.0,0.0,6791471.0,167142.0,247942.0,0.0,1668050659.203251
496884033.0,0.0,4000.0,2680.0,276624.0,528.0,0.0,0.0,6931460.0,170392.0,252817.0,0.0,1668050669.203054
