TimeUS,Instance,Dist,Stat,Orient,timestamp
221041125.0,0.0,4.28,1.0,0.0,1668050393.360146
221041134.0,1.0,0.22,4.0,25.0,1668050393.360155
221108652.0,0.0,4.28,1.0,0.0,1668050393.427673
221108662.0,1.0,0.25,4.0,25.0,1668050393.4276829
221158718.0,0.0,4.28,1.0,0.0,1668050393.477739
221158726.0,1.0,0.25,4.0,25.0,1668050393.477747
221208711.0,0.0,4.28,1.0,0.0,1668050393.527732
221208724.0,1.0,0.25,4.0,25.0,1668050393.527745
221258726.0,0.0,4.28,1.0,0.0,1668050393.5777469
221258735.0,1.0,0.22,4.0,25.0,1668050393.577756
221308699.0,0.0,4.28,1.0,0.0,1668050393.6277199
221308709.0,1.0,0.25,4.0,25.0,1668050393.62773
221358756.0,0.0,4.28,1.0,0.0,1668050393.677777
221358764.0,1.0,0.22,4.0,25.0,1668050393.677785
221408443.0,0.0,4.28,1.0,0.0,1668050393.727464
221408453.0,1.0,0.22,4.0,25.0,1668050393.727474
221458788.0,0.0,4.28,1.0,0.0,1668050393.777809
221458797.0,1.0,0.22,4.0,25.0,1668050393.777818
221508428.0,0.0,4.28,1.0,0.0,1668050393.827449
221508438.0,1.0,0.22,4.0,25.0,1668050393.827459
221558970.0,0.0,4.28,1.0,0.0,1668050393.877991
221558980.0,1.0,0.22,4.0,25.0,1668050393.878001
221608457.0,0.0,4.28,1.0,0.0,1668050393.927478
221608616.0,1.0,0.22,4.0,25.0,1668050393.927637
221658679.0,0.0,4.28,1.0,0.0,1668050393.9777
221658688.0,1.0,0.22,4.0,25.0,1668050393.977709
221708443.0,0.0,4.28,1.0,0.0,1668050394.027464
221708456.0,1.0,0.22,4.0,25.0,1668050394.027477
221758800.0,0.0,4.28,1.0,0.0,1668050394.077821
221758808.0,1.0,0.22,4.0,25.0,1668050394.077829
221808621.0,0.0,4.28,1.0,0.0,1668050394.127642
221808631.0,1.0,0.22,4.0,25.0,1668050394.127652
221859080.0,0.0,4.28,1.0,0.0,1668050394.178101
221859089.0,1.0,0.22,4.0,25.0,1668050394.17811
221908600.0,0.0,4.28,1.0,0.0,1668050394.227621
221908610.0,1.0,0.22,4.0,25.0,1668050394.227631
221958880.0,0.0,4.28,1.0,0.0,1668050394.277901
221958889.0,1.0,0.22,4.0,25.0,1668050394.27791
222008618.0,0.0,4.28,1.0,0.0,1668050394.327639
222008628.0,1.0,0.22,4.0,25.0,1668050394.3276489
222058851.0,0.0,4.28,1.0,0.0,1668050394.377872
222058860.0,1.0,0.22,4.0,25.0,1668050394.377881
222108429.0,0.0,4.28,1.0,0.0,1668050394.42745
222108439.0,1.0,0.22,4.0,25.0,1668050394.42746
222158845.0,0.0,4.26,2.0,0.0,1668050394.477866
222158854.0,1.0,0.22,4.0,25.0,1668050394.477875
222208598.0,0.0,4.26,2.0,0.0,1668050394.527619
222208624.0,1.0,0.22,4.0,25.0,1668050394.5276449
222259018.0,0.0,4.26,2.0,0.0,1668050394.578039
222259027.0,1.0,0.22,4.0,25.0,1668050394.578048
222308659.0,0.0,4.26,2.0,0.0,1668050394.62768
222308673.0,1.0,0.22,4.0,25.0,1668050394.627694
222358800.0,0.0,4.26,2.0,0.0,1668050394.677821
222358809.0,1.0,0.22,4.0,25.0,1668050394.67783
222408609.0,0.0,4.26,2.0,0.0,1668050394.72763
222408643.0,1.0,0.25,4.0,25.0,1668050394.727664
222459007.0,0.0,4.26,2.0,0.0,1668050394.778028
222459095.0,1.0,0.25,4.0,25.0,1668050394.778116
222508514.0,0.0,4.26,1.0,0.0,1668050394.827535
222508624.0,1.0,0.25,4.0,25.0,1668050394.827645
222558808.0,0.0,4.26,1.0,0.0,1668050394.877829
222558817.0,1.0,0.25,4.0,25.0,1668050394.877838
222608413.0,0.0,4.26,1.0,0.0,1668050394.927434
222608423.0,1.0,0.22,4.0,25.0,1668050394.927444
222658954.0,0.0,4.26,1.0,0.0,1668050394.977975
222658963.0,1.0,0.22,4.0,25.0,1668050394.977984
222708656.0,0.0,4.26,1.0,0.0,1668050395.027677
222708666.0,1.0,0.22,4.0,25.0,1668050395.027687
222758806.0,0.0,4.26,1.0,0.0,1668050395.077827
222758815.0,1.0,0.22,4.0,25.0,1668050395.077836
222808403.0,0.0,4.26,1.0,0.0,1668050395.127424
222808416.0,1.0,0.22,4.0,25.0,1668050395.1274369
222858657.0,0.0,4.26,1.0,0.0,1668050395.1776779
222858666.0,1.0,0.22,4.0,25.0,1668050395.177687
222908437.0,0.0,4.26,1.0,0.0,1668050395.227458
