TimeUS,rpm1,rpm2,timestamp
221017890.0,-1.0,-1.0,1668050393.336911
221063586.0,-1.0,-1.0,1668050393.382607
221088670.0,-1.0,-1.0,1668050393.407691
221113301.0,-1.0,-1.0,1668050393.432322
221138689.0,-1.0,-1.0,1668050393.45771
221163348.0,-1.0,-1.0,1668050393.482369
221188678.0,-1.0,-1.0,1668050393.507699
221213245.0,-1.0,-1.0,1668050393.532266
221238733.0,-1.0,-1.0,1668050393.557754
221263376.0,-1.0,-1.0,1668050393.582397
221288798.0,-1.0,-1.0,1668050393.607819
221313350.0,-1.0,-1.0,1668050393.632371
221338706.0,-1.0,-1.0,1668050393.657727
221363222.0,-1.0,-1.0,1668050393.6822429
221388452.0,-1.0,-1.0,1668050393.707473
221413143.0,-1.0,-1.0,1668050393.732164
221438676.0,-1.0,-1.0,1668050393.757697
221463225.0,-1.0,-1.0,1668050393.7822459
221488737.0,-1.0,-1.0,1668050393.807758
221513228.0,-1.0,-1.0,1668050393.832249
221538710.0,-1.0,-1.0,1668050393.857731
221563296.0,-1.0,-1.0,1668050393.882317
221588734.0,-1.0,-1.0,1668050393.907755
221613186.0,-1.0,-1.0,1668050393.9322069
221638787.0,-1.0,-1.0,1668050393.957808
221663115.0,-1.0,-1.0,1668050393.982136
221688433.0,-1.0,-1.0,1668050394.007454
221713375.0,-1.0,-1.0,1668050394.032396
221738795.0,-1.0,-1.0,1668050394.057816
221763193.0,-1.0,-1.0,1668050394.0822139
221788657.0,-1.0,-1.0,1668050394.107678
221813228.0,-1.0,-1.0,1668050394.1322489
221838750.0,-1.0,-1.0,1668050394.1577709
221863186.0,-1.0,-1.0,1668050394.1822069
221888600.0,-1.0,-1.0,1668050394.207621
221913286.0,-1.0,-1.0,1668050394.232307
221938758.0,-1.0,-1.0,1668050394.257779
221963239.0,-1.0,-1.0,1668050394.28226
221988737.0,-1.0,-1.0,1668050394.307758
222013182.0,-1.0,-1.0,1668050394.332203
222038745.0,-1.0,-1.0,1668050394.357766
222063407.0,-1.0,-1.0,1668050394.382428
222088466.0,-1.0,-1.0,1668050394.407487
222113231.0,-1.0,-1.0,1668050394.432252
222138655.0,-1.0,-1.0,1668050394.457676
222163460.0,-1.0,-1.0,1668050394.482481
222188634.0,-1.0,-1.0,1668050394.507655
222213255.0,-1.0,-1.0,1668050394.532276
222238824.0,-1.0,-1.0,1668050394.5578449
222263192.0,-1.0,-1.0,1668050394.582213
222288646.0,-1.0,-1.0,1668050394.607667
222313199.0,-1.0,-1.0,1668050394.63222
222338684.0,-1.0,-1.0,1668050394.657705
222363156.0,-1.0,-1.0,1668050394.682177
222388674.0,-1.0,-1.0,1668050394.707695
222413181.0,-1.0,-1.0,1668050394.732202
222438735.0,-1.0,-1.0,1668050394.757756
222463372.0,-1.0,-1.0,1668050394.782393
222488662.0,-1.0,-1.0,1668050394.807683
222513219.0,-1.0,-1.0,1668050394.83224
222538714.0,-1.0,-1.0,1668050394.857735
