TimeUS,Instance,ofsI,magI,ofsQ,magQ,timestamp
221298650.0,0.0,7.0,111.0,-128.0,255.0,1668050393.617671
241315780.0,0.0,4.0,150.0,-128.0,255.0,1668050413.634801
261311743.0,0.0,-6.0,114.0,-128.0,255.0,1668050433.630764
266311870.0,0.0,3.0,171.0,-128.0,255.0,1668050438.630891
271311847.0,0.0,20.0,97.0,-128.0,255.0,1668050443.630868
276311770.0,0.0,14.0,96.0,-128.0,255.0,1668050448.630791
281311814.0,0.0,-18.0,114.0,-128.0,255.0,1668050453.630835
286311862.0,0.0,5.0,122.0,-128.0,255.0,1668050458.630883
291303594.0,0.0,39.0,134.0,-128.0,255.0,1668050463.622615
296303689.0,0.0,9.0,126.0,-128.0,255.0,1668050468.62271
301303539.0,0.0,6.0,130.0,-128.0,255.0,1668050473.62256
306303717.0,0.0,-33.0,133.0,-128.0,255.0,1668050478.622738
311303702.0,0.0,3.0,170.0,-128.0,255.0,1668050483.622723
316303633.0,0.0,10.0,118.0,-128.0,255.0,1668050488.622654
321303571.0,0.0,-2.0,138.0,-128.0,255.0,1668050493.622592
326303750.0,0.0,10.0,102.0,-128.0,255.0,1668050498.622771
331303791.0,0.0,10.0,86.0,-128.0,255.0,1668050503.622812
336303587.0,0.0,23.0,151.0,-128.0,255.0,1668050508.622608
341303642.0,0.0,35.0,124.0,-128.0,255.0,1668050513.622663
346303725.0,0.0,15.0,132.0,-128.0,255.0,1668050518.622746
351303699.0,0.0,-13.0,111.0,-128.0,255.0,1668050523.62272
356303723.0,0.0,3.0,168.0,-128.0,255.0,1668050528.622744
361303606.0,0.0,16.0,115.0,-128.0,255.0,1668050533.622627
366303584.0,0.0,-10.0,140.0,-128.0,255.0,1668050538.622605
371303654.0,0.0,12.0,125.0,41.0,123.0,1668050543.622675
376303728.0,0.0,6.0,111.0,22.0,148.0,1668050548.622749
381303642.0,0.0,12.0,128.0,-128.0,255.0,1668050553.622663
386303666.0,0.0,-5.0,134.0,-128.0,255.0,1668050558.622687
391303690.0,0.0,19.0,146.0,-128.0,255.0,1668050563.622711
396303715.0,0.0,-3.0,121.0,-128.0,255.0,1668050568.622736
401303816.0,0.0,4.0,161.0,-128.0,255.0,1668050573.622837
406303663.0,0.0,12.0,121.0,-128.0,255.0,1668050578.622684
411303805.0,0.0,4.0,159.0,-128.0,255.0,1668050583.622826
416303779.0,0.0,11.0,160.0,-128.0,255.0,1668050588.6227999
421303764.0,0.0,-9.0,126.0,-128.0,255.0,1668050593.622785
426303693.0,0.0,12.0,106.0,-128.0,255.0,1668050598.622714
431303656.0,0.0,2.0,112.0,-128.0,255.0,1668050603.622677
436303987.0,0.0,20.0,126.0,-128.0,255.0,1668050608.623008
441303733.0,0.0,-24.0,133.0,-128.0,255.0,1668050613.622754
446303693.0,0.0,8.0,145.0,-128.0,255.0,1668050618.622714
451303668.0,0.0,21.0,122.0,-128.0,255.0,1668050623.622689
456303666.0,0.0,8.0,158.0,-128.0,255.0,1668050628.622687
461303723.0,0.0,4.0,160.0,-128.0,255.0,1668050633.622744
466303742.0,0.0,-12.0,134.0,-128.0,255.0,1668050638.622763
471303667.0,0.0,15.0,148.0,-128.0,255.0,1668050643.622688
476303696.0,0.0,25.0,124.0,-128.0,255.0,1668050648.622717
481303801.0,0.0,11.0,105.0,-128.0,255.0,1668050653.622822
486303725.0,0.0,-9.0,109.0,-128.0,255.0,1668050658.622746
491303745.0,0.0,7.0,120.0,-128.0,255.0,1668050663.622766
496303672.0,0.0,29.0,118.0,-128.0,255.0,1668050668.622693
501303689.0,0.0,28.0,139.0,-128.0,255.0,1668050673.62271
506303726.0,0.0,-10.0,143.0,-128.0,255.0,1668050678.622747
511303765.0,0.0,-14.0,139.0,-128.0,255.0,1668050683.622786
516303684.0,0.0,15.0,146.0,-128.0,255.0,1668050688.622705
521303647.0,0.0,9.0,143.0,-128.0,255.0,1668050693.622668
526299750.0,0.0,13.0,148.0,-128.0,255.0,1668050698.618771
531299794.0,0.0,-7.0,116.0,-128.0,255.0,1668050703.618815
536299818.0,0.0,4.0,117.0,-128.0,255.0,1668050708.618839
741299717.0,0.0,7.0,119.0,-128.0,255.0,1668050913.618738
746299695.0,0.0,33.0,130.0,-128.0,255.0,1668050918.618716
751299863.0,0.0,16.0,132.0,-128.0,255.0,1668050923.618884
756299790.0,0.0,-9.0,135.0,-128.0,255.0,1668050928.618811
761299780.0,0.0,3.0,123.0,-128.0,255.0,1668050933.6188009
766299730.0,0.0,29.0,128.0,-128.0,255.0,1668050938.618751
771299861.0,0.0,9.0,153.0,-128.0,255.0,1668050943.618882
776299810.0,0.0,12.0,146.0,-128.0,255.0,1668050948.618831
781299788.0,0.0,12.0,98.0,-128.0,255.0,1668050953.618809
786299710.0,0.0,9.0,99.0,-128.0,255.0,1668050958.618731
791299707.0,0.0,21.0,107.0,-128.0,255.0,1668050963.618728
796299829.0,0.0,-10.0,137.0,-128.0,255.0,1668050968.61885
801299755.0,0.0,6.0,138.0,-128.0,255.0,1668050973.618776
806299785.0,0.0,1.0,125.0,-128.0,255.0,1668050978.618806
811299760.0,0.0,29.0,128.0,-128.0,255.0,1668050983.618781
816299691.0,0.0,16.0,149.0,-128.0,255.0,1668050988.618712
821299724.0,0.0,5.0,148.0,-128.0,255.0,1668050993.618745
826299786.0,0.0,-21.0,137.0,-128.0,255.0,1668050998.618807
831299789.0,0.0,7.0,136.0,-128.0,255.0,1668051003.61881
836299734.0,0.0,15.0,93.0,-128.0,255.0,1668051008.618755
841299824.0,0.0,-3.0,108.0,49.0,109.0,1668051013.618845
846299763.0,0.0,10.0,110.0,37.0,100.0,1668051018.618784
851299810.0,0.0,-1.0,151.0,-128.0,255.0,1668051023.618831
856299726.0,0.0,18.0,141.0,-128.0,255.0,1668051028.618747
861299808.0,0.0,-10.0,130.0,-128.0,255.0,1668051033.618829
866299766.0,0.0,12.0,152.0,-128.0,255.0,1668051038.618787
871299745.0,0.0,-23.0,125.0,-128.0,255.0,1668051043.618766
876299694.0,0.0,2.0,152.0,-6.0,112.0,1668051048.618715
881299775.0,0.0,34.0,127.0,20.0,136.0,1668051053.6187959
886299737.0,0.0,27.0,122.0,-128.0,255.0,1668051058.618758
891299774.0,0.0,8.0,97.0,-128.0,255.0,1668051063.618795
896299805.0,0.0,-6.0,138.0,-128.0,255.0,1668051068.618826
901299670.0,0.0,18.0,126.0,-128.0,255.0,1668051073.618691
906299788.0,0.0,-5.0,134.0,-128.0,255.0,1668051078.618809
911299722.0,0.0,20.0,135.0,-128.0,255.0,1668051083.618743
916299766.0,0.0,-21.0,121.0,-128.0,255.0,1668051088.618787
921299635.0,0.0,7.0,153.0,-128.0,255.0,1668051093.618656
926299679.0,0.0,34.0,129.0,-128.0,255.0,1668051098.6187
931299705.0,0.0,30.0,118.0,-128.0,255.0,1668051103.618726
936299781.0,0.0,8.0,97.0,-128.0,255.0,1668051108.618802
941299676.0,0.0,-2.0,107.0,-128.0,255.0,1668051113.618697
946299645.0,0.0,13.0,109.0,-128.0,255.0,1668051118.618666
951291398.0,0.0,20.0,138.0,-128.0,255.0,1668051123.610419
956291403.0,0.0,8.0,132.0,-128.0,255.0,1668051128.610424
961291550.0,0.0,-18.0,136.0,-128.0,255.0,1668051133.610571
971291436.0,0.0,24.0,138.0,-128.0,255.0,1668051143.610457
976291595.0,0.0,8.0,158.0,-128.0,255.0,1668051148.610616
981291623.0,0.0,13.0,155.0,-128.0,255.0,1668051153.610644
986291626.0,0.0,2.0,106.0,-128.0,255.0,1668051158.610647
991291564.0,0.0,9.0,108.0,-128.0,255.0,1668051163.610585
996291629.0,0.0,15.0,125.0,-128.0,255.0,1668051168.61065
1001291692.0,0.0,-10.0,144.0,-128.0,255.0,1668051173.610713
1006291627.0,0.0,-11.0,129.0,-128.0,255.0,1668051178.610648
1011291610.0,0.0,6.0,137.0,-128.0,255.0,1668051183.610631
1016291584.0,0.0,34.0,136.0,-128.0,255.0,1668051188.610605
1021291641.0,0.0,6.0,163.0,-128.0,255.0,1668051193.610662
1026291726.0,0.0,17.0,160.0,-128.0,255.0,1668051198.610747
1031291803.0,0.0,-10.0,141.0,-128.0,255.0,1668051203.6108239
1036291684.0,0.0,14.0,132.0,-128.0,255.0,1668051208.610705
1041291654.0,0.0,6.0,112.0,-128.0,255.0,1668051213.610675
1046291814.0,0.0,-8.0,125.0,-128.0,255.0,1668051218.610835
1051291639.0,0.0,-4.0,117.0,-128.0,255.0,1668051223.61066
1056291608.0,0.0,5.0,144.0,-128.0,255.0,1668051228.610629
1061291585.0,0.0,35.0,132.0,-128.0,255.0,1668051233.610606
1066291524.0,0.0,-13.0,147.0,-128.0,255.0,1668051238.610545
1071291506.0,0.0,6.0,161.0,-128.0,255.0,1668051243.610527
1076291592.0,0.0,-8.0,146.0,-128.0,255.0,1668051248.6106129
1081291556.0,0.0,19.0,144.0,-128.0,255.0,1668051253.6105769
1086291633.0,0.0,14.0,151.0,-128.0,255.0,1668051258.6106539
1091291663.0,0.0,28.0,130.0,-128.0,255.0,1668051263.610684
1096291728.0,0.0,6.0,122.0,-128.0,255.0,1668051268.610749
1101291641.0,0.0,5.0,161.0,-128.0,255.0,1668051273.610662
1106291445.0,0.0,31.0,131.0,-128.0,255.0,1668051278.610466
1111291509.0,0.0,-1.0,152.0,-128.0,255.0,1668051283.61053
1116291662.0,0.0,25.0,144.0,-128.0,255.0,1668051288.610683
1121291561.0,0.0,-9.0,144.0,-128.0,255.0,1668051293.6105819
1126291603.0,0.0,20.0,150.0,-128.0,255.0,1668051298.610624
1131291523.0,0.0,11.0,156.0,-128.0,255.0,1668051303.610544
1136291766.0,0.0,25.0,130.0,-128.0,255.0,1668051308.610787
1141291617.0,0.0,6.0,110.0,-128.0,255.0,1668051313.610638
1146291609.0,0.0,7.0,137.0,-128.0,255.0,1668051318.61063
1151291697.0,0.0,17.0,114.0,-128.0,255.0,1668051323.610718
1156291543.0,0.0,13.0,158.0,-128.0,255.0,1668051328.610564
1161291625.0,0.0,10.0,143.0,-128.0,255.0,1668051333.610646
1166291624.0,0.0,-7.0,146.0,-128.0,255.0,1668051338.610645
1171291652.0,0.0,14.0,120.0,-128.0,255.0,1668051343.610673
1176286432.0,0.0,20.0,146.0,-128.0,255.0,1668051348.605453
1181286408.0,0.0,4.0,156.0,-128.0,255.0,1668051353.605429
1186286342.0,0.0,-3.0,134.0,-128.0,255.0,1668051358.605363
